"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","12282","test(String, String, String, String, Integer, Integer, Integer) [21] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Tue Feb 04 01:56:00 GMT 2025","failed","Tue Feb 04 01:56:12 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","13597","kardTest(String) [3] Дебетовые","","Tue Feb 04 01:52:41 GMT 2025","failed","Tue Feb 04 01:52:55 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13655","premiumTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Tue Feb 04 01:53:45 GMT 2025","failed","Tue Feb 04 01:53:59 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для вклада для своих","13082","vkladsTest(String, String, String, String, Integer) [4] и ф, 11.11.1999, 123123123123123, моск, 4","","Tue Feb 04 01:50:58 GMT 2025","failed","Tue Feb 04 01:51:12 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","14109","blogTest(String) [9] Платежи и переводы","","Tue Feb 04 01:38:22 GMT 2025","passed","Tue Feb 04 01:38:36 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","25092","blogTest(String) [3] Кредитование","","Tue Feb 04 01:50:09 GMT 2025","passed","Tue Feb 04 01:50:35 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13003","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Tue Feb 04 01:43:03 GMT 2025","passed","Tue Feb 04 01:43:16 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","18617","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Feb 04 01:53:04 GMT 2025","failed","Tue Feb 04 01:53:23 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","12349","premiumTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Tue Feb 04 01:39:02 GMT 2025","failed","Tue Feb 04 01:39:15 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","25377","kardTest(String) [4] Премиальные","","Tue Feb 04 01:52:01 GMT 2025","failed","Tue Feb 04 01:52:27 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка фильтров для статей","11695","blogTest(String) [7] Бизнес","","Tue Feb 04 01:37:58 GMT 2025","passed","Tue Feb 04 01:38:10 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","23976","test(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Tue Feb 04 01:55:43 GMT 2025","failed","Tue Feb 04 01:56:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","12513","test(String, String, String, String, Integer, Integer, Integer) [19] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 20","","Tue Feb 04 01:55:47 GMT 2025","failed","Tue Feb 04 01:56:00 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","12569","test(String, String, String, String, Integer, Integer, Integer) [6] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 0","","Tue Feb 04 01:48:48 GMT 2025","failed","Tue Feb 04 01:49:01 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","24218","test(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Tue Feb 04 01:50:20 GMT 2025","failed","Tue Feb 04 01:50:45 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","26322","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Tue Feb 04 01:46:13 GMT 2025","failed","Tue Feb 04 01:46:40 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","221351","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [19] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 20","","Tue Feb 04 01:42:32 GMT 2025","broken","Tue Feb 04 01:46:13 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","13704","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [21] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Tue Feb 04 01:46:40 GMT 2025","passed","Tue Feb 04 01:46:53 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","15630","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Tue Feb 04 01:42:30 GMT 2025","passed","Tue Feb 04 01:42:46 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","15071","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Tue Feb 04 01:41:34 GMT 2025","passed","Tue Feb 04 01:41:49 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","14837","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Tue Feb 04 01:39:54 GMT 2025","passed","Tue Feb 04 01:40:09 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","15129","blogTest(String) [5] Дебетовые карты","","Tue Feb 04 01:37:31 GMT 2025","passed","Tue Feb 04 01:37:46 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","11642","blogTest(String) [1] Все","","Tue Feb 04 01:50:35 GMT 2025","passed","Tue Feb 04 01:50:46 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16789","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Tue Feb 04 01:38:33 GMT 2025","failed","Tue Feb 04 01:38:50 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","27699","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [16] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 20","","Tue Feb 04 01:42:04 GMT 2025","passed","Tue Feb 04 01:42:32 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","12885","premiumTest(String, String, String, String, Integer) [2] ии фф оо, 11.11.1999, 123123123123123, моск, 4","","Tue Feb 04 01:54:27 GMT 2025","failed","Tue Feb 04 01:54:40 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для вклада для своих","19379","vkladsTest(String, String, String, String, Integer) [3] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Tue Feb 04 01:53:23 GMT 2025","passed","Tue Feb 04 01:53:42 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","12437","test(String, String, String, String, Integer, Integer, Integer) [11] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 0","","Tue Feb 04 01:49:54 GMT 2025","failed","Tue Feb 04 01:50:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16031","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Tue Feb 04 01:41:18 GMT 2025","passed","Tue Feb 04 01:41:34 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","12238","blogTest(String) [2] Вклады и счета","","Tue Feb 04 01:50:46 GMT 2025","passed","Tue Feb 04 01:50:58 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13508","test(String, String, String, String, Integer, Integer, Integer) [3] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Tue Feb 04 01:55:05 GMT 2025","failed","Tue Feb 04 01:55:19 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","12108","kardTest(String) [4] Премиальные","","Tue Feb 04 01:37:43 GMT 2025","failed","Tue Feb 04 01:37:55 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13500","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Tue Feb 04 01:39:41 GMT 2025","failed","Tue Feb 04 01:39:54 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","12672","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Tue Feb 04 01:38:50 GMT 2025","failed","Tue Feb 04 01:39:02 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14540","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [22] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 20","","Tue Feb 04 01:46:53 GMT 2025","passed","Tue Feb 04 01:47:08 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","13522","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [8] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Tue Feb 04 01:41:49 GMT 2025","passed","Tue Feb 04 01:42:03 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13230","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Tue Feb 04 01:39:37 GMT 2025","failed","Tue Feb 04 01:39:50 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","12032","kardTest(String) [5] Виртуальные","","Tue Feb 04 01:37:55 GMT 2025","failed","Tue Feb 04 01:38:07 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13428","test(String, String, String, String, Integer, Integer, Integer) [15] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Tue Feb 04 01:50:58 GMT 2025","failed","Tue Feb 04 01:51:11 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","64546","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [23] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 20","","Tue Feb 04 01:47:08 GMT 2025","passed","Tue Feb 04 01:48:12 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","12514","premiumTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Tue Feb 04 01:39:15 GMT 2025","failed","Tue Feb 04 01:39:27 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16942","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Tue Feb 04 01:56:07 GMT 2025","failed","Tue Feb 04 01:56:24 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка наличия модального окна для каждого из партнеров","14216","partnersTest()","","Tue Feb 04 01:39:23 GMT 2025","passed","Tue Feb 04 01:39:37 GMT 2025","","MtsBankTest","MtsBankTest","partnersTest"
"Проверка фильтров для статей","28296","blogTest(String) [10] Инвестиции","","Tue Feb 04 01:49:41 GMT 2025","passed","Tue Feb 04 01:50:09 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14130","test(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Tue Feb 04 01:55:04 GMT 2025","failed","Tue Feb 04 01:55:18 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16175","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [6] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 0","","Tue Feb 04 01:41:18 GMT 2025","passed","Tue Feb 04 01:41:34 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","59575","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Tue Feb 04 01:46:36 GMT 2025","passed","Tue Feb 04 01:47:35 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","12993","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [18] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 20","","Tue Feb 04 01:43:16 GMT 2025","passed","Tue Feb 04 01:43:29 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","12719","test(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Tue Feb 04 01:49:01 GMT 2025","failed","Tue Feb 04 01:49:14 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","11764","blogTest(String) [10] Инвестиции","","Tue Feb 04 01:38:36 GMT 2025","passed","Tue Feb 04 01:38:48 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13903","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Tue Feb 04 01:53:59 GMT 2025","failed","Tue Feb 04 01:54:12 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","14547","kardTest(String) [5] Виртуальные","","Tue Feb 04 01:52:27 GMT 2025","failed","Tue Feb 04 01:52:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13195","test(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Tue Feb 04 01:54:40 GMT 2025","failed","Tue Feb 04 01:54:53 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13591","premiumTest(String, String, String, String, Integer) [2] ии фф оо, 11.11.1999, 123123123123123, моск, 4","","Tue Feb 04 01:39:50 GMT 2025","failed","Tue Feb 04 01:40:04 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для вклада для своих","79045","vkladsTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Tue Feb 04 01:51:28 GMT 2025","passed","Tue Feb 04 01:52:47 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","16566","kardTest(String) [1] Все","","Tue Feb 04 01:52:55 GMT 2025","failed","Tue Feb 04 01:53:11 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка фильтров для статей","20379","blogTest(String) [4] Кредитные карты","","Tue Feb 04 01:37:10 GMT 2025","passed","Tue Feb 04 01:37:31 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","221296","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Tue Feb 04 01:37:37 GMT 2025","broken","Tue Feb 04 01:41:18 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","11708","test(String, String, String, String, Integer, Integer, Integer) [18] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 20","","Tue Feb 04 01:54:52 GMT 2025","failed","Tue Feb 04 01:55:04 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","12416","blogTest(String) [6] Ипотека","","Tue Feb 04 01:48:47 GMT 2025","passed","Tue Feb 04 01:49:00 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13408","premiumTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Feb 04 01:39:27 GMT 2025","failed","Tue Feb 04 01:39:41 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","28582","test(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Tue Feb 04 01:55:19 GMT 2025","failed","Tue Feb 04 01:55:47 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","26054","kardTest(String) [1] Все","","Tue Feb 04 01:38:07 GMT 2025","failed","Tue Feb 04 01:38:33 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка фильтров для статей","13623","blogTest(String) [5] Дебетовые карты","","Tue Feb 04 01:48:34 GMT 2025","passed","Tue Feb 04 01:48:47 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13895","test(String, String, String, String, Integer, Integer, Integer) [8] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Tue Feb 04 01:49:14 GMT 2025","failed","Tue Feb 04 01:49:28 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","17266","vkladsTest(String, String, String, String, Integer) [1] им фа, 11.1, 123123123123123, моск, 1","","Tue Feb 04 01:53:42 GMT 2025","passed","Tue Feb 04 01:53:59 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","17622","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Tue Feb 04 01:53:11 GMT 2025","failed","Tue Feb 04 01:53:29 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка фильтров для статей","13382","blogTest(String) [9] Платежи и переводы","","Tue Feb 04 01:49:28 GMT 2025","passed","Tue Feb 04 01:49:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","22347","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Tue Feb 04 01:46:13 GMT 2025","passed","Tue Feb 04 01:46:36 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка соответствия хотя бы одной карты каждому фильтру","13285","kardTest(String) [3] Дебетовые","","Tue Feb 04 01:37:29 GMT 2025","failed","Tue Feb 04 01:37:43 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","26342","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [4] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 0","","Tue Feb 04 01:37:10 GMT 2025","passed","Tue Feb 04 01:37:37 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","17031","vkladsTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Tue Feb 04 01:52:47 GMT 2025","passed","Tue Feb 04 01:53:04 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","222733","kardTest(String) [2] Кредитные","","Tue Feb 04 01:48:19 GMT 2025","broken","Tue Feb 04 01:52:01 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13949","test(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Tue Feb 04 01:48:34 GMT 2025","failed","Tue Feb 04 01:48:48 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","12359","blogTest(String) [6] Ипотека","","Tue Feb 04 01:37:46 GMT 2025","passed","Tue Feb 04 01:37:58 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14423","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [12] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 0","","Tue Feb 04 01:42:16 GMT 2025","passed","Tue Feb 04 01:42:30 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","13403","test(String, String, String, String, Integer, Integer, Integer) [12] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 0","","Tue Feb 04 01:50:07 GMT 2025","failed","Tue Feb 04 01:50:20 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","14379","premiumTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Feb 04 01:54:12 GMT 2025","failed","Tue Feb 04 01:54:27 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","11744","test(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Tue Feb 04 01:55:31 GMT 2025","failed","Tue Feb 04 01:55:43 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","10636","blogTest(String) [2] Вклады и счета","","Tue Feb 04 01:39:01 GMT 2025","passed","Tue Feb 04 01:39:12 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","13063","blogTest(String) [3] Кредитование","","Tue Feb 04 01:38:48 GMT 2025","passed","Tue Feb 04 01:39:01 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","221281","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Tue Feb 04 01:54:16 GMT 2025","broken","Tue Feb 04 01:57:58 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15721","test(String, String, String, String, Integer, Integer, Integer) [4] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 0","","Tue Feb 04 01:48:19 GMT 2025","failed","Tue Feb 04 01:48:34 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","10890","blogTest(String) [1] Все","","Tue Feb 04 01:39:12 GMT 2025","passed","Tue Feb 04 01:39:23 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","18880","kardTest(String) [2] Кредитные","","Tue Feb 04 01:37:10 GMT 2025","failed","Tue Feb 04 01:37:29 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13177","test(String, String, String, String, Integer, Integer, Integer) [22] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 20","","Tue Feb 04 01:55:18 GMT 2025","failed","Tue Feb 04 01:55:31 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","14499","blogTest(String) [8] Премиум","","Tue Feb 04 01:49:13 GMT 2025","passed","Tue Feb 04 01:49:28 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15686","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [11] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 0","","Tue Feb 04 01:41:34 GMT 2025","failed","Tue Feb 04 01:41:50 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","13507","test(String, String, String, String, Integer, Integer, Integer) [9] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Tue Feb 04 01:49:28 GMT 2025","failed","Tue Feb 04 01:49:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
