"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","25938","test(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Thu Jan 09 02:17:09 GMT 2025","passed","Thu Jan 09 02:17:35 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","13827","blogTest(String) [9] Платежи и переводы","","Thu Jan 09 02:08:08 GMT 2025","passed","Thu Jan 09 02:08:22 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","22698","test(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Thu Jan 09 02:14:44 GMT 2025","passed","Thu Jan 09 02:15:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","15741","premiumTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Thu Jan 09 02:08:56 GMT 2025","passed","Thu Jan 09 02:09:12 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка фильтров для статей","15836","blogTest(String) [7] Бизнес","","Thu Jan 09 02:12:55 GMT 2025","passed","Thu Jan 09 02:13:11 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка фильтров для статей","52622","blogTest(String) [1] Все","","Thu Jan 09 02:09:11 GMT 2025","passed","Thu Jan 09 02:10:04 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","34319","test(String, String, String, String, Integer, Integer, Integer) [18] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 20","","Thu Jan 09 02:17:48 GMT 2025","passed","Thu Jan 09 02:18:23 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка наличия модального окна для каждого из партнеров","35432","partnersTest()","","Thu Jan 09 02:10:04 GMT 2025","failed","Thu Jan 09 02:10:39 GMT 2025","","MtsBankTest","MtsBankTest","partnersTest"
"Проверка формы валидации данных о пользователе для кредита под залог","18498","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Thu Jan 09 02:11:15 GMT 2025","passed","Thu Jan 09 02:11:34 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","16672","blogTest(String) [6] Ипотека","","Thu Jan 09 02:12:39 GMT 2025","passed","Thu Jan 09 02:12:55 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","31313","vkladsTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Thu Jan 09 02:15:40 GMT 2025","passed","Thu Jan 09 02:16:11 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","18136","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [14] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Thu Jan 09 02:10:00 GMT 2025","passed","Thu Jan 09 02:10:18 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
