"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтров для статей","21616","blogTest(String) [10] Инвестиции","","Sun Jan 12 18:28:08 GMT 2025","passed","Sun Jan 12 18:28:30 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","17501","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Sun Jan 12 18:29:47 GMT 2025","passed","Sun Jan 12 18:30:05 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","26938","test(String, String, String, String, Integer, Integer, Integer) [4] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 0","","Sun Jan 12 18:31:56 GMT 2025","passed","Sun Jan 12 18:32:23 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","22094","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Sun Jan 12 18:36:12 GMT 2025","passed","Sun Jan 12 18:36:35 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","19602","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Sun Jan 12 18:28:20 GMT 2025","passed","Sun Jan 12 18:28:40 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","23255","test(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Sun Jan 12 18:36:05 GMT 2025","passed","Sun Jan 12 18:36:29 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","17198","kardTest(String) [2] Кредитные","","Sun Jan 12 18:31:56 GMT 2025","failed","Sun Jan 12 18:32:13 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","30528","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [14] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Sun Jan 12 18:30:02 GMT 2025","passed","Sun Jan 12 18:30:32 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка наличия модального окна для каждого из партнеров","33647","partnersTest()","","Sun Jan 12 18:29:22 GMT 2025","failed","Sun Jan 12 18:29:56 GMT 2025","","MtsBankTest","MtsBankTest","partnersTest"
"Проверка формы валидации данных о пользователе для кредита под залог","17832","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Sun Jan 12 18:28:45 GMT 2025","passed","Sun Jan 12 18:29:03 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","16653","blogTest(String) [7] Бизнес","","Sun Jan 12 18:32:51 GMT 2025","passed","Sun Jan 12 18:33:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
