"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтров для статей","13853","blogTest(String) [2] Вклады и счета","","Tue Jan 14 18:29:16 GMT 2025","passed","Tue Jan 14 18:29:30 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","16112","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Tue Jan 14 18:30:26 GMT 2025","passed","Tue Jan 14 18:30:42 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","12609","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Tue Jan 14 18:31:43 GMT 2025","passed","Tue Jan 14 18:31:55 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","20619","test(String, String, String, String, Integer, Integer, Integer) [16] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 20","","Tue Jan 14 18:36:20 GMT 2025","passed","Tue Jan 14 18:36:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","15568","premiumTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Jan 14 18:34:22 GMT 2025","passed","Tue Jan 14 18:34:37 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16104","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Tue Jan 14 18:34:06 GMT 2025","passed","Tue Jan 14 18:34:22 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка фильтров для статей","12790","blogTest(String) [2] Вклады и счета","","Tue Jan 14 18:34:18 GMT 2025","passed","Tue Jan 14 18:34:30 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","15879","kardTest(String) [3] Дебетовые","","Tue Jan 14 18:27:46 GMT 2025","passed","Tue Jan 14 18:28:02 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка фильтров для статей","17445","blogTest(String) [4] Кредитные карты","","Tue Jan 14 18:27:24 GMT 2025","passed","Tue Jan 14 18:27:42 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","20715","test(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Tue Jan 14 18:33:05 GMT 2025","passed","Tue Jan 14 18:33:26 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
