"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка соответствия хотя бы одной карты каждому фильтру","11364","kardTest(String) [4] Премиальные","","Sun Jan 12 06:28:08 GMT 2025","passed","Sun Jan 12 06:28:19 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","16860","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [8] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Sun Jan 12 06:28:47 GMT 2025","passed","Sun Jan 12 06:29:04 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","48732","test(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Sun Jan 12 06:32:59 GMT 2025","passed","Sun Jan 12 06:33:47 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","20239","test(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Sun Jan 12 06:37:48 GMT 2025","passed","Sun Jan 12 06:38:09 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","17562","test(String, String, String, String, Integer, Integer, Integer) [16] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 20","","Sun Jan 12 06:37:23 GMT 2025","passed","Sun Jan 12 06:37:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","12458","blogTest(String) [3] Кредитование","","Sun Jan 12 06:34:36 GMT 2025","passed","Sun Jan 12 06:34:49 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","11500","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Sun Jan 12 06:29:37 GMT 2025","passed","Sun Jan 12 06:29:49 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка наличия модального окна для каждого из партнеров","17051","partnersTest()","","Sun Jan 12 06:30:06 GMT 2025","passed","Sun Jan 12 06:30:23 GMT 2025","","MtsBankTest","MtsBankTest","partnersTest"
"Проверка фильтров для статей","13206","blogTest(String) [7] Бизнес","","Sun Jan 12 06:28:21 GMT 2025","passed","Sun Jan 12 06:28:35 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","11404","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Sun Jan 12 06:33:42 GMT 2025","failed","Sun Jan 12 06:33:54 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
