"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для нового премиум клиента","221607","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Sat Jan 25 06:27:21 GMT 2025","broken","Sat Jan 25 06:31:02 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка фильтров для статей","12414","blogTest(String) [1] Все","","Sat Jan 25 06:28:01 GMT 2025","passed","Sat Jan 25 06:28:14 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14259","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Sat Jan 25 06:29:54 GMT 2025","passed","Sat Jan 25 06:30:08 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка соответствия хотя бы одной карты каждому фильтру","12475","kardTest(String) [4] Премиальные","","Sat Jan 25 06:26:30 GMT 2025","passed","Sat Jan 25 06:26:42 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","12173","test(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Sat Jan 25 06:32:15 GMT 2025","failed","Sat Jan 25 06:32:28 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","14264","blogTest(String) [8] Премиум","","Sat Jan 25 06:26:57 GMT 2025","passed","Sat Jan 25 06:27:12 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","11602","blogTest(String) [2] Вклады и счета","","Sat Jan 25 06:27:50 GMT 2025","passed","Sat Jan 25 06:28:01 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","14771","blogTest(String) [6] Ипотека","","Sat Jan 25 06:26:29 GMT 2025","passed","Sat Jan 25 06:26:44 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","18549","vkladsTest(String, String, String, String, Integer) [2] ии фф оо, 11.11.1999, 123123123123123, моск, 4","","Sat Jan 25 06:40:02 GMT 2025","passed","Sat Jan 25 06:40:20 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для вклада для своих","13394","vkladsTest(String, String, String, String, Integer) [4] и ф, 11.11.1999, 123123123123123, моск, 4","","Sat Jan 25 06:37:24 GMT 2025","failed","Sat Jan 25 06:37:38 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","13491","blogTest(String) [8] Премиум","","Sat Jan 25 06:32:33 GMT 2025","passed","Sat Jan 25 06:32:46 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13515","test(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Sat Jan 25 06:36:46 GMT 2025","failed","Sat Jan 25 06:37:00 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13732","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Sat Jan 25 06:39:34 GMT 2025","passed","Sat Jan 25 06:39:48 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","18278","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Sat Jan 25 06:26:56 GMT 2025","passed","Sat Jan 25 06:27:15 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","14672","blogTest(String) [5] Дебетовые карты","","Sat Jan 25 06:31:51 GMT 2025","passed","Sat Jan 25 06:32:06 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","13036","kardTest(String) [1] Все","","Sat Jan 25 06:35:55 GMT 2025","failed","Sat Jan 25 06:36:08 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для вклада для своих","221301","vkladsTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Sat Jan 25 06:37:38 GMT 2025","broken","Sat Jan 25 06:41:19 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13663","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Sat Jan 25 06:30:35 GMT 2025","passed","Sat Jan 25 06:30:49 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","14443","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Sat Jan 25 06:27:47 GMT 2025","passed","Sat Jan 25 06:28:01 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","13517","blogTest(String) [7] Бизнес","","Sat Jan 25 06:26:44 GMT 2025","passed","Sat Jan 25 06:26:57 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14111","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Sat Jan 25 06:29:53 GMT 2025","passed","Sat Jan 25 06:30:08 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","12516","test(String, String, String, String, Integer, Integer, Integer) [19] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 20","","Sat Jan 25 06:37:12 GMT 2025","failed","Sat Jan 25 06:37:24 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","13366","test(String, String, String, String, Integer, Integer, Integer) [23] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 20","","Sat Jan 25 06:38:18 GMT 2025","failed","Sat Jan 25 06:38:31 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","17886","vkladsTest(String, String, String, String, Integer) [1] им фа, 11.1, 123123123123123, моск, 1","","Sat Jan 25 06:39:46 GMT 2025","passed","Sat Jan 25 06:40:03 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","10454","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Sat Jan 25 06:27:10 GMT 2025","failed","Sat Jan 25 06:27:21 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","12268","test(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Sat Jan 25 06:38:44 GMT 2025","failed","Sat Jan 25 06:38:57 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","12315","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Sat Jan 25 06:31:16 GMT 2025","passed","Sat Jan 25 06:31:28 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка фильтров для статей","14604","blogTest(String) [3] Кредитование","","Sat Jan 25 06:36:44 GMT 2025","passed","Sat Jan 25 06:36:59 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14460","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [2] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Sat Jan 25 06:29:10 GMT 2025","failed","Sat Jan 25 06:29:24 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","25760","test(String, String, String, String, Integer, Integer, Integer) [22] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 20","","Sat Jan 25 06:37:52 GMT 2025","failed","Sat Jan 25 06:38:18 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","17125","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [6] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 0","","Sat Jan 25 06:26:39 GMT 2025","passed","Sat Jan 25 06:26:56 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","14583","test(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Sat Jan 25 06:37:24 GMT 2025","failed","Sat Jan 25 06:37:39 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13549","premiumTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Sat Jan 25 06:31:02 GMT 2025","passed","Sat Jan 25 06:31:16 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","12297","test(String, String, String, String, Integer, Integer, Integer) [18] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 20","","Sat Jan 25 06:37:00 GMT 2025","failed","Sat Jan 25 06:37:12 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","12947","test(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Sat Jan 25 06:31:50 GMT 2025","failed","Sat Jan 25 06:32:03 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","31576","kardTest(String) [2] Кредитные","","Sat Jan 25 06:25:45 GMT 2025","failed","Sat Jan 25 06:26:17 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","14100","premiumTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Sat Jan 25 06:39:48 GMT 2025","passed","Sat Jan 25 06:40:02 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для вклада для своих","17438","vkladsTest(String, String, String, String, Integer) [3] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Sat Jan 25 06:40:03 GMT 2025","passed","Sat Jan 25 06:40:21 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","12024","kardTest(String) [5] Виртуальные","","Sat Jan 25 06:35:43 GMT 2025","passed","Sat Jan 25 06:35:55 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка фильтров для статей","30013","blogTest(String) [4] Кредитные карты","","Sat Jan 25 06:25:45 GMT 2025","passed","Sat Jan 25 06:26:15 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","14647","kardTest(String) [1] Все","","Sat Jan 25 06:26:55 GMT 2025","failed","Sat Jan 25 06:27:10 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка фильтров для статей","11435","blogTest(String) [3] Кредитование","","Sat Jan 25 06:27:38 GMT 2025","passed","Sat Jan 25 06:27:50 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15400","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [22] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 20","","Sat Jan 25 06:30:08 GMT 2025","passed","Sat Jan 25 06:30:24 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка соответствия хотя бы одной карты каждому фильтру","12978","kardTest(String) [3] Дебетовые","","Sat Jan 25 06:26:17 GMT 2025","passed","Sat Jan 25 06:26:30 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","11518","test(String, String, String, String, Integer, Integer, Integer) [15] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Sat Jan 25 06:36:22 GMT 2025","failed","Sat Jan 25 06:36:33 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","11984","test(String, String, String, String, Integer, Integer, Integer) [9] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Sat Jan 25 06:32:39 GMT 2025","failed","Sat Jan 25 06:32:51 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","18665","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Sat Jan 25 06:26:21 GMT 2025","passed","Sat Jan 25 06:26:39 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","12957","blogTest(String) [2] Вклады и счета","","Sat Jan 25 06:37:11 GMT 2025","passed","Sat Jan 25 06:37:24 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","16615","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Sat Jan 25 06:41:38 GMT 2025","passed","Sat Jan 25 06:41:55 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14174","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Sat Jan 25 06:28:29 GMT 2025","passed","Sat Jan 25 06:28:43 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","35187","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [4] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 0","","Sat Jan 25 06:25:45 GMT 2025","passed","Sat Jan 25 06:26:21 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","12923","blogTest(String) [10] Инвестиции","","Sat Jan 25 06:27:25 GMT 2025","passed","Sat Jan 25 06:27:38 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","19212","vkladsTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Sat Jan 25 06:41:19 GMT 2025","passed","Sat Jan 25 06:41:38 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14724","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Sat Jan 25 06:28:55 GMT 2025","passed","Sat Jan 25 06:29:10 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","13068","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Sat Jan 25 06:29:25 GMT 2025","failed","Sat Jan 25 06:29:38 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","19110","vkladsTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Sat Jan 25 06:41:19 GMT 2025","passed","Sat Jan 25 06:41:38 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
