"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для нового премиум клиента","14563","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Fri Feb 07 01:47:42 GMT 2025","failed","Fri Feb 07 01:47:57 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","11857","test(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Fri Feb 07 01:43:49 GMT 2025","failed","Fri Feb 07 01:44:01 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","12811","blogTest(String) [9] Платежи и переводы","","Fri Feb 07 01:44:10 GMT 2025","passed","Fri Feb 07 01:44:23 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","13842","premiumTest(String, String, String, String, Integer) [4] им фа, 11.1, 123123123123123, моск, 1","","Fri Feb 07 01:40:15 GMT 2025","failed","Fri Feb 07 01:40:29 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","12902","kardTest(String) [1] Все","","Fri Feb 07 01:39:47 GMT 2025","failed","Fri Feb 07 01:40:00 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка фильтров для статей","14705","blogTest(String) [3] Кредитование","","Fri Feb 07 01:40:15 GMT 2025","passed","Fri Feb 07 01:40:29 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13411","test(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Fri Feb 07 01:44:26 GMT 2025","failed","Fri Feb 07 01:44:39 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16375","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [3] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Fri Feb 07 01:41:44 GMT 2025","passed","Fri Feb 07 01:42:00 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","13800","vkladsTest(String, String, String, String, Integer) [4] и ф, 11.11.1999, 123123123123123, моск, 4","","Fri Feb 07 01:45:11 GMT 2025","failed","Fri Feb 07 01:45:25 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","16620","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [14] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Fri Feb 07 01:41:48 GMT 2025","passed","Fri Feb 07 01:42:05 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
