"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","16129","test(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Tue Jan 28 06:38:46 GMT 2025","failed","Tue Jan 28 06:39:02 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16731","test(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Tue Jan 28 06:35:20 GMT 2025","failed","Tue Jan 28 06:35:36 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","18693","blogTest(String) [7] Бизнес","","Tue Jan 28 06:29:07 GMT 2025","passed","Tue Jan 28 06:29:26 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","16438","blogTest(String) [8] Премиум","","Tue Jan 28 06:34:50 GMT 2025","passed","Tue Jan 28 06:35:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","19849","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Jan 28 06:37:47 GMT 2025","passed","Tue Jan 28 06:38:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","17089","blogTest(String) [2] Вклады и счета","","Tue Jan 28 06:30:28 GMT 2025","passed","Tue Jan 28 06:30:45 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","18884","vkladsTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Tue Jan 28 06:37:06 GMT 2025","passed","Tue Jan 28 06:37:25 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","19613","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Tue Jan 28 06:31:57 GMT 2025","passed","Tue Jan 28 06:32:17 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","26125","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Tue Jan 28 06:31:22 GMT 2025","passed","Tue Jan 28 06:31:48 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","35988","blogTest(String) [4] Кредитные карты","","Tue Jan 28 06:28:01 GMT 2025","passed","Tue Jan 28 06:28:37 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","20795","premiumTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Tue Jan 28 06:36:34 GMT 2025","failed","Tue Jan 28 06:36:55 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","17114","kardTest(String) [1] Все","","Tue Jan 28 06:35:12 GMT 2025","passed","Tue Jan 28 06:35:29 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка фильтров для статей","16189","blogTest(String) [3] Кредитование","","Tue Jan 28 06:30:12 GMT 2025","passed","Tue Jan 28 06:30:28 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","18693","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Tue Jan 28 06:28:39 GMT 2025","passed","Tue Jan 28 06:28:58 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","14455","blogTest(String) [1] Все","","Tue Jan 28 06:30:45 GMT 2025","passed","Tue Jan 28 06:30:59 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","17223","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [12] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 0","","Tue Jan 28 06:31:05 GMT 2025","passed","Tue Jan 28 06:31:22 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
