"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтров для статей","18524","blogTest(String) [2] Вклады и счета","","Sat Feb 01 01:44:22 GMT 2025","passed","Sat Feb 01 01:44:40 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","15470","kardTest(String) [4] Премиальные","","Sat Feb 01 01:49:25 GMT 2025","passed","Sat Feb 01 01:49:40 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","12193","kardTest(String) [4] Премиальные","","Sat Feb 01 01:42:19 GMT 2025","passed","Sat Feb 01 01:42:31 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","67880","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [4] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 0","","Sat Feb 01 01:41:26 GMT 2025","passed","Sat Feb 01 01:42:34 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","17312","test(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Sat Feb 01 01:53:15 GMT 2025","failed","Sat Feb 01 01:53:33 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","14395","blogTest(String) [8] Премиум","","Sat Feb 01 01:43:19 GMT 2025","passed","Sat Feb 01 01:43:34 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","16565","test(String, String, String, String, Integer, Integer, Integer) [3] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Sat Feb 01 01:54:24 GMT 2025","failed","Sat Feb 01 01:54:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","15876","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [23] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 20","","Sat Feb 01 01:48:16 GMT 2025","passed","Sat Feb 01 01:48:32 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16021","premiumTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Sat Feb 01 01:44:33 GMT 2025","failed","Sat Feb 01 01:44:50 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","17669","test(String, String, String, String, Integer, Integer, Integer) [21] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Sat Feb 01 01:54:38 GMT 2025","failed","Sat Feb 01 01:54:56 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
