"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка фильтров для статей","99634","blogTest(String) [9] Платежи и переводы","","Mon Jan 27 12:56:42 GMT 2025","passed","Mon Jan 27 12:58:22 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","20698","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [11] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 0","","Mon Jan 27 12:42:24 GMT 2025","failed","Mon Jan 27 12:42:45 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","20191","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Mon Jan 27 12:43:44 GMT 2025","failed","Mon Jan 27 12:44:04 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","82530","test(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Mon Jan 27 13:07:43 GMT 2025","failed","Mon Jan 27 13:09:06 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","109088","blogTest(String) [7] Бизнес","","Mon Jan 27 12:52:58 GMT 2025","passed","Mon Jan 27 12:54:48 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","113455","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Mon Jan 27 13:08:52 GMT 2025","passed","Mon Jan 27 13:10:45 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","73292","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [22] и , aa@a.a, 1231231233, 12.12.1984, 0, 1, 20","","Mon Jan 27 12:45:05 GMT 2025","passed","Mon Jan 27 12:46:19 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","71166","test(String, String, String, String, Integer, Integer, Integer) [14] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Mon Jan 27 13:00:04 GMT 2025","failed","Mon Jan 27 13:01:15 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","68867","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Mon Jan 27 12:56:11 GMT 2025","failed","Mon Jan 27 12:57:20 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка фильтров для статей","118517","blogTest(String) [6] Ипотека","","Mon Jan 27 12:51:00 GMT 2025","passed","Mon Jan 27 12:52:58 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","21722","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Mon Jan 27 12:41:41 GMT 2025","failed","Mon Jan 27 12:42:03 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","115418","kardTest(String) [1] Все","","Mon Jan 27 12:54:15 GMT 2025","passed","Mon Jan 27 12:56:11 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка фильтров для статей","20144","blogTest(String) [7] Бизнес","","Mon Jan 27 12:41:01 GMT 2025","failed","Mon Jan 27 12:41:21 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","114851","blogTest(String) [8] Премиум","","Mon Jan 27 12:54:48 GMT 2025","passed","Mon Jan 27 12:56:42 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","20387","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Mon Jan 27 12:41:02 GMT 2025","failed","Mon Jan 27 12:41:22 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","20904","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Mon Jan 27 12:40:20 GMT 2025","failed","Mon Jan 27 12:40:41 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","71151","test(String, String, String, String, Integer, Integer, Integer) [15] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Mon Jan 27 13:01:15 GMT 2025","failed","Mon Jan 27 13:02:26 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","103095","blogTest(String) [4] Кредитные карты","","Mon Jan 27 12:47:36 GMT 2025","passed","Mon Jan 27 12:49:19 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","70448","test(String, String, String, String, Integer, Integer, Integer) [2] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Mon Jan 27 13:12:14 GMT 2025","failed","Mon Jan 27 13:13:24 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
