"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","22463","test(String, String, String, String, Integer, Integer, Integer) [8] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Sun Jan 19 18:32:33 GMT 2025","passed","Sun Jan 19 18:32:56 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","21954","vkladsTest(String, String, String, String, Integer) [1] им фа, 11.1, 123123123123123, моск, 1","","Sun Jan 19 18:35:08 GMT 2025","passed","Sun Jan 19 18:35:30 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","15241","blogTest(String) [10] Инвестиции","","Sun Jan 19 18:26:44 GMT 2025","passed","Sun Jan 19 18:26:59 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","19024","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [15] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Sun Jan 19 18:29:20 GMT 2025","passed","Sun Jan 19 18:29:39 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка соответствия хотя бы одной карты каждому фильтру","29078","kardTest(String) [1] Все","","Sun Jan 19 18:32:20 GMT 2025","failed","Sun Jan 19 18:32:50 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","30693","test(String, String, String, String, Integer, Integer, Integer) [15] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Sun Jan 19 18:35:12 GMT 2025","failed","Sun Jan 19 18:35:43 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","14721","blogTest(String) [6] Ипотека","","Sun Jan 19 18:25:41 GMT 2025","passed","Sun Jan 19 18:25:56 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка фильтров для статей","16859","blogTest(String) [6] Ипотека","","Sun Jan 19 18:31:05 GMT 2025","passed","Sun Jan 19 18:31:22 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","22306","test(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Sun Jan 19 18:34:27 GMT 2025","passed","Sun Jan 19 18:34:49 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для нового премиум клиента","17051","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Sun Jan 19 18:34:34 GMT 2025","passed","Sun Jan 19 18:34:51 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
