"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","18512","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [8] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 0","","Sun Jan 26 18:27:04 GMT 2025","passed","Sun Jan 26 18:27:22 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","19790","vkladsTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Sun Jan 26 18:33:54 GMT 2025","passed","Sun Jan 26 18:34:14 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","16813","blogTest(String) [6] Ипотека","","Sun Jan 26 18:26:11 GMT 2025","passed","Sun Jan 26 18:26:28 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15851","test(String, String, String, String, Integer, Integer, Integer) [1] и , aa@a.a, 1231231233, 12.12.1984, 0, 1234567, 0","","Sun Jan 26 18:35:31 GMT 2025","failed","Sun Jan 26 18:35:47 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","15837","blogTest(String) [3] Кредитование","","Sun Jan 26 18:27:31 GMT 2025","passed","Sun Jan 26 18:27:47 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13578","test(String, String, String, String, Integer, Integer, Integer) [25] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 20","","Sun Jan 26 18:37:28 GMT 2025","failed","Sun Jan 26 18:37:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","22096","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [7] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 1, 0","","Sun Jan 26 18:26:42 GMT 2025","passed","Sun Jan 26 18:27:04 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка наличия модального окна для каждого из партнеров","20433","partnersTest()","","Sun Jan 26 18:28:19 GMT 2025","passed","Sun Jan 26 18:28:40 GMT 2025","","MtsBankTest","MtsBankTest","partnersTest"
"Проверка формы валидации данных о пользователе для кредита под залог","17449","test(String, String, String, String, Integer, Integer, Integer) [13] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 0","","Sun Jan 26 18:33:23 GMT 2025","failed","Sun Jan 26 18:33:41 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","17464","blogTest(String) [2] Вклады и счета","","Sun Jan 26 18:33:21 GMT 2025","passed","Sun Jan 26 18:33:38 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
