"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для нового премиум клиента","15051","premiumTest(String, String, String, String, Integer) [1] ии фф оо, 11.11.1999, 123123123123123, afasdas, 3","","Fri Feb 07 06:44:15 GMT 2025","failed","Fri Feb 07 06:44:30 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13228","test(String, String, String, String, Integer, Integer, Integer) [11] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 0","","Fri Feb 07 06:46:19 GMT 2025","failed","Fri Feb 07 06:46:32 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка соответствия хотя бы одной карты каждому фильтру","18796","kardTest(String) [2] Кредитные","","Fri Feb 07 06:29:05 GMT 2025","failed","Fri Feb 07 06:29:24 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13844","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [10] и , aa@a.a, 1231231233, 12.12.1984, 0, 99999999, 0","","Fri Feb 07 06:30:41 GMT 2025","passed","Fri Feb 07 06:30:54 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для кредита под залог","147482","test(String, String, String, String, Integer, Integer, Integer) [19] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 20","","Fri Feb 07 06:53:09 GMT 2025","failed","Fri Feb 07 06:55:36 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","12145","test(String, String, String, String, Integer, Integer, Integer) [6] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 0","","Fri Feb 07 06:43:39 GMT 2025","failed","Fri Feb 07 06:43:52 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","12258","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [19] и ф о, aaasdasru, 1231231233, 12.12.1999, 1, 99999999, 20","","Fri Feb 07 06:33:00 GMT 2025","passed","Fri Feb 07 06:33:12 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","13194","blogTest(String) [5] Дебетовые карты","","Fri Feb 07 06:38:58 GMT 2025","passed","Fri Feb 07 06:39:12 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","12805","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [2] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 0","","Fri Feb 07 06:36:07 GMT 2025","failed","Fri Feb 07 06:36:20 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","17240","vkladsTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Fri Feb 07 06:45:07 GMT 2025","passed","Fri Feb 07 06:45:24 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка фильтров для статей","16363","blogTest(String) [4] Кредитные карты","","Fri Feb 07 06:38:42 GMT 2025","passed","Fri Feb 07 06:38:58 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","17543","vkladsTest(String, String, String, String, Integer) [8] им фа, 11.11.1900, 123123123123, моск, 1","","Fri Feb 07 06:44:48 GMT 2025","passed","Fri Feb 07 06:45:06 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","159763","test(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Fri Feb 07 06:49:23 GMT 2025","failed","Fri Feb 07 06:52:03 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка фильтров для статей","12589","blogTest(String) [1] Все","","Fri Feb 07 06:43:36 GMT 2025","passed","Fri Feb 07 06:43:48 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка фильтров для статей","12831","blogTest(String) [2] Вклады и счета","","Fri Feb 07 06:31:20 GMT 2025","passed","Fri Feb 07 06:31:32 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","147421","test(String, String, String, String, Integer, Integer, Integer) [21] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Fri Feb 07 06:52:03 GMT 2025","failed","Fri Feb 07 06:54:31 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для вклада для своих","17810","vkladsTest(String, String, String, String, Integer) [2] ии фф оо, 11.11.1999, 123123123123123, моск, 4","","Fri Feb 07 06:44:49 GMT 2025","passed","Fri Feb 07 06:45:07 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
