"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка формы валидации данных о пользователе для кредита под залог","18342","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [5] и ф о, aa@a.a, 123, 12.12.1984, 2, 1, 0","","Sun Mar 09 15:08:05 GMT 2025","failed","Sun Mar 09 15:08:24 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","15436","premiumTest(String, String, String, String, Integer) [7] eng lish, 11.11.1999, 123123123123, моск, 0","","Sun Mar 09 15:10:34 GMT 2025","failed","Sun Mar 09 15:10:49 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","17543","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Sun Mar 09 15:13:27 GMT 2025","failed","Sun Mar 09 15:13:45 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15374","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [14] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 99999999, 20","","Sun Mar 09 15:10:24 GMT 2025","failed","Sun Mar 09 15:10:39 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для вклада для своих","30155","vkladsTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Sun Mar 09 15:14:38 GMT 2025","passed","Sun Mar 09 15:15:08 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка формы валидации данных о пользователе для кредита под залог","11062","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [24] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 20","","Sun Mar 09 15:11:21 GMT 2025","failed","Sun Mar 09 15:11:32 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","14361","blogTest(String) [10] Инвестиции","","Sun Mar 09 15:13:25 GMT 2025","failed","Sun Mar 09 15:13:39 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для вклада для своих","17374","vkladsTest(String, String, String, String, Integer) [2] ии фф оо, 11.11.1999, 123123123123123, моск, 4","","Sun Mar 09 15:16:20 GMT 2025","passed","Sun Mar 09 15:16:37 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","vkladsTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","17795","kardTest(String) [3] Дебетовые","","Sun Mar 09 15:08:08 GMT 2025","failed","Sun Mar 09 15:08:26 GMT 2025","","MtsBankTest","MtsBankTest","kardTest"
"Проверка соответствия хотя бы одной карты каждому фильтру","15755","kardTest(String) [1] Все","","Sun Mar 09 15:13:11 GMT 2025","failed","Sun Mar 09 15:13:27 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","kardTest"
"Проверка формы валидации данных о пользователе для кредита под залог","15146","test(String, String, String, String, Integer, Integer, Integer) [6] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 1, 0","","Sun Mar 09 15:12:24 GMT 2025","failed","Sun Mar 09 15:12:39 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16950","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [17] и ф о, aa@a.a, 123, 12.12.1984, 2, 99999999, 20","","Sun Mar 09 15:11:05 GMT 2025","failed","Sun Mar 09 15:11:22 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка фильтров для статей","16277","blogTest(String) [5] Дебетовые карты","","Sun Mar 09 15:12:11 GMT 2025","failed","Sun Mar 09 15:12:27 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","blogTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","14370","premiumTest(String, String, String, String, Integer) [6] им фа, 11.11.1999, чето, моск, 2","","Sun Mar 09 15:14:16 GMT 2025","failed","Sun Mar 09 15:14:31 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","premiumTest"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16005","premiumTest(String, String, String, String, Integer) [3] и ф, 11.11.1999, 123123123123123, моск, 4","","Sun Mar 09 15:09:19 GMT 2025","failed","Sun Mar 09 15:09:35 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка фильтров для статей","11213","blogTest(String) [8] Премиум","","Sun Mar 09 15:08:41 GMT 2025","failed","Sun Mar 09 15:08:53 GMT 2025","","MtsBankTest","MtsBankTest","blogTest"
"Проверка формы валидации данных о пользователе для кредита под залог","13894","test(String, String, String, String, Integer, Integer, Integer) [21] и ф о, aa@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Sun Mar 09 15:15:37 GMT 2025","failed","Sun Mar 09 15:15:51 GMT 2025","","MtsBankMobileTest","MtsBankMobileTest","test"
"Проверка формы валидации данных о пользователе для кредита под залог","16440","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [20] и ф о, a@a.a, 1231231233, 12.12.1984, 4, 1, 20","","Sun Mar 09 15:11:22 GMT 2025","failed","Sun Mar 09 15:11:38 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
"Проверка формы валидации данных о пользователе для нового премиум клиента","16099","premiumTest(String, String, String, String, Integer) [5] им фа, 11.11.1999, 123, моск, 2","","Sun Mar 09 15:10:24 GMT 2025","failed","Sun Mar 09 15:10:40 GMT 2025","","MtsBankTest","MtsBankTest","premiumTest"
"Проверка формы валидации данных о пользователе для кредита под залог","14622","checkZalogKredit(String, String, String, String, Integer, Integer, Integer) [18] и ф о, aa@a.a, 1231231233, 1.1.1, 3, 99999999, 20","","Sun Mar 09 15:10:50 GMT 2025","failed","Sun Mar 09 15:11:05 GMT 2025","","MtsBankTest","MtsBankTest","checkZalogKredit"
